,District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
5752,SPOTSWOOD BORO,40.399500000000046,-74.38658999999996,Dunkin',40.39436530581022,-74.38710035368752,Donut Shop
5753,SPOTSWOOD BORO,40.399500000000046,-74.38658999999996,Discount Wine & Liquor,40.39731050910381,-74.38517350450036,Liquor Store
5754,SPOTSWOOD BORO,40.399500000000046,-74.38658999999996,The UPS Store,40.3946167,-74.3869356,Shipping Store
5755,SPOTSWOOD BORO,40.399500000000046,-74.38658999999996,Manhattan Bagel,40.3973719,-74.3851635,Bagel Shop
5756,SPOTSWOOD BORO,40.399500000000046,-74.38658999999996,Baskin-Robbins,40.394309961530915,-74.38704773904614,Ice Cream Shop
5757,SPOTSWOOD BORO,40.399500000000046,-74.38658999999996,Jimmy's Greek American Grill,40.40331452661508,-74.38688100258804,Greek Restaurant
5758,SPOTSWOOD BORO,40.399500000000046,-74.38658999999996,SUBWAY,40.39451604866607,-74.38700219445109,Sandwich Place
5759,SPOTSWOOD BORO,40.399500000000046,-74.38658999999996,Rite Aid,40.3962393,-74.386003,Pharmacy
5760,SPOTSWOOD BORO,40.399500000000046,-74.38658999999996,PNC Bank,40.3931731,-74.38807899999999,Bank
5761,SPOTSWOOD BORO,40.399500000000046,-74.38658999999996,Spotswood Little League,40.39927444561508,-74.39064402926832,Baseball Stadium
5762,SPOTSWOOD BORO,40.399500000000046,-74.38658999999996,All Star Paintball,40.40230655015499,-74.38218788940465,Paintball Field
5763,SPOTSWOOD BORO,40.399500000000046,-74.38658999999996,Verizon Authorized Retailer - Wireless Zone,40.39462760424397,-74.38689284026623,Mobile Phone Shop
5764,SPOTSWOOD BORO,40.399500000000046,-74.38658999999996,Dramatically Different Salon,40.394602505433305,-74.38674310059108,Cosmetics Shop
5765,SPOTSWOOD BORO,40.399500000000046,-74.38658999999996,Renaissnce Square,40.39441354556085,-74.38686448664977,Shopping Mall
5766,SPOTSWOOD BORO,40.399500000000046,-74.38658999999996,My Little Haven Consignment,40.40213305,-74.37951209,Shop & Service
5767,NATIONAL PARK BORO,39.865830000000074,-75.17980999999997,Heritages National Park,39.86515894767174,-75.17774253332628,Deli / Bodega
5768,NATIONAL PARK BORO,39.865830000000074,-75.17980999999997,Hessian Softball League field,39.8680652343455,-75.18710374832153,Baseball Field
5769,NATIONAL PARK BORO,39.865830000000074,-75.17980999999997,Vietnamese House,39.87148692714785,-75.17686222050801,Asian Restaurant
5770,NATIONAL PARK BORO,39.865830000000074,-75.17980999999997,Pats Family Restaurant,39.867490000000004,-75.171763,Food
5771,HACKETTSTOWN,40.85347000000007,-74.82877999999994,Stella G's,40.853038965803975,-74.8283851198562,American Restaurant
