,District,Latitude,Longitude
165,SPRINGFIELD TWP,40.70850000000007,-74.31356999999997
166,HOLLAND TWP,40.596430000000055,-75.12755999999996
167,MEDFORD TWP,39.90098000000006,-74.82350999999994
168,LODI BOROUGH,40.878990000000044,-74.08069999999998
169,MILFORD BORO,40.569450000000074,-75.09484999999995
170,NORTH ARLINGTON BORO,40.78915000000006,-74.13286999999997
171,HANOVER TWP,40.830430000000035,-74.43478999999996
172,BURLINGTON CO VOCATIONAL,39.87751820300008,-74.66790126899997
173,WHITE TWP,40.836580000000026,-75.02863999999994
174,CLIFFSIDE PARK BORO,40.82125000000008,-73.98799999999994
175,GREAT MEADOWS REGIONAL,40.869980000000055,-74.91432999999995
176,LOPATCONG TWP,40.699110000000076,-75.16620999999998
177,BOGOTA BORO,40.879530000000045,-74.03019999999998
178,WASHINGTON BORO,40.759340000000066,-74.97525999999993
179,RINGWOOD BORO,41.12931000000003,-74.26597999999996
180,EAST HANOVER TWP,40.82570000000004,-74.36101999999994
181,MILLSTONE TWP,40.227280000000064,-74.42515999999995
182,EAST BRUNSWICK TWP,40.41865000000007,-74.41970999999995
183,FRANKLIN TWP,40.49649000000005,-74.52676999999994
184,SOUTH BRUNSWICK TWP,40.38191000000006,-74.53302999999994
185,FAIRFIELD TWP,40.88014000000004,-74.28927999999996
186,BERGENFIELD BORO,40.93480000000005,-73.99546999999995
187,KINGSWAY REGIONAL,39.760230000000035,-75.29110999999995
188,COLLINGSWOOD BORO,39.91674000000006,-75.07050999999996
189,MORRIS SCHOOL DISTRICT,47.19885000000005,-65.20744999999994
190,DELAWARE VALLEY REGIONAL,40.56145007357412,-75.00535997446474
191,WEYMOUTH TWP,39.42525000000006,-74.79416999999995
192,MAHWAH TWP,41.08903000000004,-74.15415999999993
193,CARLSTADT-EAST RUTHERFORD,40.834550000000036,-74.09834999999998
194,UPPER PITTSGROVE TWP,39.616810000000044,-75.22900999999996
195,WENONAH BORO,39.78968000000003,-75.15168999999997
196,TINTON FALLS,40.30004000000008,-74.09095999999994
197,LAFAYETTE TWP,41.09711000000004,-74.68752999999998
198,SALEM COUNTY VOCATIONAL,39.64058000000006,-75.34732999999994
199,SOMERSET HILLS REGIONAL,40.498590000000036,-74.52248999999995
200,MORRIS HILLS REGIONAL,39.99372000000005,-75.03376999999995
201,HILLSDALE BORO,41.00264000000004,-74.03953999999999
202,DOVER TOWN,39.97620818736638,-74.57990403051504
203,LEBANON BORO,40.64085000000006,-74.83750999999995
204,CAMDEN COUNTY VOCATIONAL,39.80371856200003,-74.95999825099994
205,LEBANON TWP,40.718830000000025,-74.88917999999995
206,MANASQUAN BORO,40.12516000000005,-74.04559999999998
207,LINWOOD CITY,39.35375000000005,-74.57490999999999
208,WARREN COUNTY VOCATIONAL,40.85732358200005,-74.99706299999997
209,POHATCONG TWP,40.649200000000064,-75.14353999999997
210,WEST ESSEX REGIONAL,40.78779259400005,-74.24760058899994
211,SECAUCUS TOWN,41.174027672105915,-74.3750524092073
212,LYNDHURST TWP,40.81209000000007,-74.12465999999995
213,SOUTH PLAINFIELD BORO,40.585590000000025,-74.41853999999995
214,NORTH HANOVER TWP,40.13223000000005,-74.58598999999998
215,LINCOLN PARK BORO,40.92163000000005,-74.30413999999996
216,HAWTHORNE BORO,40.953610000000026,-74.15542999999997
217,FLEMINGTON-RARITAN REG,40.51511576705308,-74.8556921425665
218,MAINLAND REGIONAL,39.34554002452476,-74.57576007343069
219,WAYNE TWP,40.93008000000003,-74.22819999999996
220,SEA GIRT BORO,40.133380000000045,-74.03537999999998
221,MOUNT LAUREL TWP,39.93893000000003,-74.88587999999999
222,RUTHERFORD BORO,40.825590000000034,-74.10873999999995
223,WEST ORANGE TOWN,40.77863000000008,-74.23878999999994
224,POINT PLEASANT BEACH BORO,40.08729000000005,-74.04638999999997
225,HARRISON TOWN,39.75569000000007,-75.26424999999995
226,HADDON HEIGHTS BORO,39.88187000000005,-75.05929999999995
227,NEPTUNE CITY,40.19780000000003,-74.03044999999997
228,HAZLET TWP,40.42599000000007,-74.16609999999997
229,WINFIELD TWP,40.63527000000005,-74.28840999999994
230,ALLOWAY TWP,39.560010000000034,-75.36192999999997
231,VERONA BORO,40.83332000000007,-74.24939999999998
232,EAST WINDSOR REGIONAL,40.26800000000003,-74.54042999999996
233,CAPE MAY CO VOCATIONAL,39.150452563000044,-74.80411346199998
234,POINT PLEASANT BORO,40.08735752719769,-74.0455696008714
235,LONG HILL TWP,40.683710000000076,-74.47624999999994
236,MANSFIELD TWP,40.09248000000008,-74.71368999999999
237,CINNAMINSON TWP,39.998980000000074,-74.99472999999995
238,ROOSEVELT BORO,40.22033000000005,-74.47358999999994
239,RIDGEFIELD BORO,40.83594000000005,-74.00765999999999
240,MOUNT ARLINGTON BORO,40.93180000000007,-74.63038999999998
241,SPARTA TWP,41.04186000000004,-74.63002999999998
242,BARRINGTON BORO,39.87068000000005,-75.05258999999995
243,OAKLAND BORO,41.02383000000003,-74.24485999999996
244,GUTTENBERG TOWN,40.792880000000025,-74.00457999999998
245,SHORE REGIONAL,40.298359996104885,-74.02327993060767
246,NORTHERN BURLINGTON REG,40.08720006448669,-74.68599994777566
247,WANAQUE BORO,41.051100000000076,-74.28898999999996
248,WEST DEPTFORD TWP,39.841360000000066,-75.19978999999995
249,NORTH HALEDON BORO,40.953140000000076,-74.18388999999996
250,MONROE TWP,40.33150000000006,-74.43960999999996
251,PITTSGROVE TWP,39.550460000000044,-75.11762999999996
252,SPRINGFIELD TWP,40.70850000000007,-74.31356999999997
253,UNION TWP,40.69668000000007,-74.27088999999995
254,ELK TWP,39.66895000000005,-75.16066999999998
255,ROSELLE PARK BORO,40.66231000000005,-74.25950999999998
256,TEANECK TWP,40.88471000000004,-74.00668999999994
257,WASHINGTON TWP,39.74475000000007,-75.08470999999997
258,QUINTON TWP,39.54622000000006,-75.41273999999999
259,CLEARVIEW REGIONAL,39.750899954412205,-75.20806993205183
260,DELRAN TWP,40.01814000000007,-74.95699999999994
261,ALEXANDRIA TWP,40.571300000000065,-75.00994999999995
262,FREEHOLD TWP,40.235730000000046,-74.29430999999994
263,ROXBURY TWP,40.89025000000004,-74.66824999999994
264,WALL TWP,40.152900000000045,-74.06272999999999
265,NORTHVALE BORO,41.007780000000025,-73.95186999999999
266,LENAPE VALLEY REGIONAL,40.91971998167816,-74.6970900227939
267,WEST LONG BRANCH BORO,40.291360000000054,-74.01623999999998
268,CHERRY HILL TWP,39.92793000000006,-75.03045999999995
269,SHREWSBURY BORO,40.323860000000025,-74.06176999999997
270,SOMERVILLE BORO,40.570700000000045,-74.61938999999995
271,BLOOMINGDALE BORO,41.008110000000045,-74.33924999999994
272,BERLIN TWP,39.80791000000005,-74.94341999999995
273,BERLIN BORO,39.79645000000005,-74.93265999999994
274,MILLTOWN BORO,40.45381000000003,-74.43300999999997
275,OCEAN TWP,40.25386000000003,-74.01228999999995
276,PORT REPUBLIC CITY,39.53466000000003,-74.48737999999997
277,FREEHOLD REGIONAL,40.259010000000046,-74.27579999999995
278,HOWELL TWP,40.16938000000005,-74.18147999999997
279,SOUTH ORANGE-MAPLEWOOD,40.75143426012428,-74.28753031723754
280,CLEMENTON BORO,39.80776000000003,-74.98871999999994
281,GARFIELD CITY,40.88137000000006,-74.11343999999997
282,LITTLE FERRY BORO,40.85071000000005,-74.04375999999996
283,EASTERN CAMDEN COUNTY REG,39.85093006275592,-74.96897994373725
284,HARMONY TWP,40.762590000000046,-75.12921999999998
285,PITMAN BORO,39.73454000000004,-75.12130999999994
286,BASS RIVER TWP,39.67061000000007,-74.44725999999997
287,MIDDLETOWN TWP,40.39378000000005,-74.10374999999993
288,STOW CREEK TWP,39.45913000000007,-75.34918999999996
289,CAPE MAY CITY,38.935470000000066,-74.92136999999997
290,STANHOPE BORO,40.90351000000004,-74.70889999999997
291,BURLINGTON TWP,40.06693000000007,-74.82748999999995
292,WALDWICK BORO,41.01114000000007,-74.11955999999998
293,FRANKLIN BORO,41.116820000000075,-74.59159999999997
294,BOONTON TOWN,40.91509000000008,-74.42766999999998
295,ALLAMUCHY TWP,40.91986000000003,-74.84237999999993
296,WOODBINE BORO,39.23784000000006,-74.81340999999998
297,SPOTSWOOD BORO,40.399500000000046,-74.38658999999996
298,NATIONAL PARK BORO,39.865830000000074,-75.17980999999997
299,HACKETTSTOWN,40.85347000000007,-74.82877999999994
300,SHAMONG TWP,39.792140000000074,-74.75477999999998
301,EVESHAM TWP,39.886340000000075,-74.90842999999995
302,WALLINGTON BORO,40.85244000000006,-74.11598999999995
303,SOMERSET CO VOCATIONAL,40.563611183000035,-74.61627292899993
304,OCEAN GATE BORO,39.92826000000008,-74.13702999999998
305,GREEN BROOK TWP,40.60093000000006,-74.47421999999995
306,DEAL BORO,40.24903000000006,-74.00062999999994
307,KITTATINNY REGIONAL,41.10732004688503,-74.76429997590893
308,HIGHLANDS BORO,40.40179000000006,-73.98727999999994
309,PISCATAWAY TWP,40.53925000000004,-74.47148999999996
310,UPPER TWP,39.26343000000003,-74.72819999999996
311,UNION CITY,40.77389000000005,-74.02468999999996
312,EAST RUTHERFORD BORO,40.834550000000036,-74.09834999999998
313,MONMOUTH REGIONAL,40.305590076605704,-74.09102996220243
314,ABSECON CITY,39.43273000000005,-74.50740999999994
315,MIDDLESEX BORO,40.579360000000065,-74.50066999999996
316,SOMERDALE BORO,39.848430000000064,-75.01600999999994
317,SOUTH HARRISON TWP,39.69915000000003,-75.26506999999998
318,OCEAN CITY,39.27940000000007,-74.57554999999996
319,JEFFERSON TWP,41.019510000000025,-74.54726999999997
320,LAKELAND REGIONAL,41.060089950517096,-74.281720031738
321,DEPTFORD TWP,39.82844000000006,-75.12459999999999
322,MANNINGTON TWP,39.64522000000005,-75.42350999999996
323,RIDGEFIELD PARK TWP,40.858280000000036,-74.02474999999998
324,JACKSON TWP,40.11188000000004,-74.34410999999994
325,JAMESBURG BORO,40.35012000000006,-74.43751999999995
326,EATONTOWN BORO,40.305540000000065,-74.05790999999994
327,FOLSOM BORO,39.60190000000006,-74.84258999999997
328,MATAWAN-ABERDEEN REGIONAL,40.43071929523671,-74.23004574895293
329,EDGEWATER BORO,40.826880000000074,-73.97351999999995
330,WOODSTOWN-PILESGROVE REG,39.6385403315053,-75.35101429163326
331,NORTHFIELD CITY,39.366640000000075,-74.54979999999995
332,LAWRENCE TWP,40.282790000000034,-74.73168999999996
333,HIGH POINT REGIONAL,41.200070073287485,-74.64415992267409
334,ALPHA BORO,40.66617000000008,-75.16023999999999
335,CALDWELL-WEST CALDWELL,40.84111000000007,-74.30179999999996
336,ROCKAWAY TWP,40.91187000000008,-74.52772999999996
337,BORDENTOWN REGIONAL,40.15356005669637,-74.68457004962626
338,HAMPTON BORO,40.70697000000007,-74.95595999999995
339,UPPER FREEHOLD REGIONAL,40.17440000000005,-74.58754999999996
340,MONTCLAIR TOWN,40.81740000000008,-74.21614999999997
341,FRANKLIN TWP,40.49649000000005,-74.52676999999994
342,ANDOVER REG,40.986860000000036,-74.74218999999994
343,OLD BRIDGE TWP,40.40301000000005,-74.29675999999995
344,AUDUBON BORO,39.89387000000005,-75.08966999999996
345,CLIFTON CITY,40.86575000000005,-74.15981999999997
346,EGG HARBOR TWP,39.36221000000006,-74.58113999999995
347,DELSEA REGIONAL H.S DIST.,39.60829004169275,-75.06623991863562
348,WATERFORD TWP,39.766410000000064,-74.89215999999993
349,PERTH AMBOY CITY,40.50657000000007,-74.26587999999998
350,CHESTERFIELD TWP,40.12507000000005,-74.65276999999998
351,PLUMSTED TWP,40.087240000000065,-74.53346999999997
352,SOUTH HUNTERDON REGIONAL SCHOOL DISTRICT,40.38852999927986,-74.89066003851774
353,BLOOMSBURY BORO,40.65682000000004,-75.08195999999998
354,FREEHOLD BORO,40.259010000000046,-74.27579999999995
355,KNOWLTON TWP,40.929590000000076,-75.08911999999998
356,MONTAGUE TWP,41.302590000000066,-74.79374999999999
357,BRICK TWP,40.07510000000008,-74.15328999999997
358,BLOOMFIELD TWP,40.79191000000003,-74.19574999999998
359,LINDEN CITY,40.62510000000003,-74.23791999999997
360,OLDMANS TWP,39.757600000000025,-75.40999999999997
361,DUNELLEN BORO,40.591120000000046,-74.46422999999999
362,CARLSTADT BORO,40.84147000000007,-74.09438999999998
363,HARDYSTON TWP,41.14214000000004,-74.58685999999994
364,GLOUCESTER TWP,39.82153000000005,-75.04173999999995
365,CITY OF ORANGE TWP,40.773430000000076,-74.22880999999995
366,READINGTON TWP,40.60773000000006,-74.77574999999996
367,BELLEVILLE TOWN,40.78732000000008,-74.15289999999999
368,HOPE TWP,40.91094000000004,-74.96643999999998
369,EWING TWP,40.26991000000004,-74.79988999999995
370,JERSEY CITY,40.71748000000008,-74.04384999999996
371,BLAIRSTOWN TWP,40.98680000000007,-74.95109999999994
372,LOWER ALLOWAYS CREEK,39.50216000000006,-75.44251999999994
373,NETCONG BORO,40.898780000000045,-74.70618999999994
374,SADDLE BROOK TWP,40.895470000000046,-74.08260999999999
375,HIGHLAND PARK BORO,40.49813000000006,-74.42287999999996
376,HOBOKEN CITY,40.737160000000074,-74.03096999999997
377,HAMPTON TWP,41.105470000000025,-74.76156999999995
378,BELMAR BORO,40.18289000000004,-74.02433999999994
379,LONG BEACH ISLAND,39.659800000000075,-74.17079999999999
380,ROCHELLE PARK TWP,40.91321000000005,-74.07930999999996
381,MONROE TWP,40.33150000000006,-74.43960999999996
382,HAMMONTON TOWN,39.612040631056004,-74.48687667424
383,HACKENSACK CITY,40.88606000000004,-74.04445999999996
384,ELIZABETH CITY,40.66381000000007,-74.21143999999998
385,HAMILTON TWP,40.230360000000076,-74.72385999999995
386,WATCHUNG BORO,40.636420000000044,-74.45272999999997
387,MANTUA TWP,39.77864000000005,-75.16865999999999
388,HADDON TWP,39.91038000000003,-75.04942999999997
389,MOUNT HOLLY TWP,39.99301000000003,-74.78822999999994
390,AVALON BORO,39.094940000000065,-74.72376999999994
391,BAYONNE CITY,40.66873000000004,-74.11748999999998
